상호,주소,별점,메뉴
송쉐프 구의점,서울 광진구 아차산로 355 타워더모스트광진아크로텔 2층,4.1,"짜장면(7,000원), 볶음짬뽕(9,000원), 뽁음짜장(9,000원), 옛날짬뽕 (밥)(8,000원), 옛날볶음밥+프라이(8,000원)"
범가,서울 광진구 광장로 58-1 1층,,"마늘푸레이크찹쌀탕수육(중)(24,000원), 야채찹쌀탕수육(중)(24,000원), 사천(매운)탕수육(중)(26,000원), 깐풍육(중)(26,000원), 가지튀김(중)(24,000원), 라조육(중)(28,000원), 중새우튀김(8pc)(32,000원), 금사오룡(8pc)(38,000원)"
천미향,서울 광진구 능동로 237 2층,2.9,"유니자장면(8,000원), 간짜장(9,000원), 해물쟁반짜장(20,000원), 짬뽕(9,000원), 삼선우동(11,000원), 볶음짬뽕(12,000원), 사천탕면(11,000원), 중국식냉면(11,000원), 냉짬뽕(11,000원), 기스면(8,000원), 낙지짬뽕(13,000원), 차돌짬뽕(13,000원), 자연송이덮밥(18,000원), 잡탕밥(16,000원), 게살볶음밥(11,000원), 고추잡채밥(13,000원), 누룽지탕밥(12,000원), 새우볶음밥(9,000원), 짬뽕밥(10,000원), 군만두(7,000원), 물만두(7,000원), 어향동고 (소)(35,000원), 류산슬 (소)(33,000원), 양장피잡채 (소)(30,000원), 당면잡채 (소)(25,000원), 해물누룽지탕 (소)(38,000원), 새우두부 (소)(25,000원), 마파두부 (소)(25,000원), 게살두부 (소)(30,000원), 오화구육(동파육) (소)(30,000원), 사천식탕수육 (소)(25,000원), 탕수육 (소)(20,000원), 라조육 (소)(28,000원), 깐풍육 (소)(28,000원), 찹쌀탕수육(22,000원), 깐풍큰새우(13,000원), 깐소큰새우(13,000원), 크림중새우 (소)(30,000원), 깐소중새우 (소)(30,000원)"
원보양꼬치,서울 광진구 동일로18길 23 1층,4.3,"양고급갈비 (3개)(35,000원), 양고급등갈비(16,000원), 양꼬치(15,000원), 양갈비살(15,000원), 소갈비살(15,000원)"
빠오즈푸,서울 광진구 광나루로 373 1층,3.9,"부추지짐만두 (9개)(8,000원), 새우지짐만두 (9개)(9,000원), 고기_빠오즈 (8개)(8,000원), 훈둔면(8,000원), 훈둔(8,000원), 매운 훈둔면(8,500원), 딴딴면(8,000원)"
짬뽕지존 아차산점,서울 광진구 천호대로 682 1층,,"지존짬뽕(12,000원), 지존짬뽕밥(12,000원), 지옥짬뽕(12,000원), 지옥짬뽕밥(12,000원), 쌀국수짬뽕(12,000원), 지옥쌀국수짬뽕(12,000원), 수제비짬뽕(12,000원), 지옥수제비짬뽕(12,000원), 순두부짬뽕밥(12,000원), 지옥순두부짬뽕밥(12,000원), 순두부짬뽕면(13,000원), 지옥순두부짬뽕면(13,000원)"
하이난,서울 광진구 능동로 243-1,3.2,"싱글세트（돼지고기 탕수육＋삼선짜장 or 삼선짬뽕 中 택1）(23,000원), 싱글세트（깐풍기＋삼선짜장 or 삼선짬뽕 中 택1）(26,000원), 차돌박이짬뽕(15,000원), 삼선짜장(9,000원), 삼선짬뽕(10,000원), 삼선짬뽕밥(11,000원), 새우볶음밥(10,000원), 삼선볶음밥(10,000원), 잡채밥(12,000원), 돼지고기탕수육(30,000원), 싱글세트 （ 중새우요리（4piece）＋（삼선짜장／삼선짬뽕 중 택1）(26,000원), 한우볶음밥(15,000원), 마라우육탕면(15,000원), 우육탕면(17,000원), 게살볶음밥(12,000원), 마파두부밥(12,000원), 잡탕밥（해물덮밥）(17,000원), 공기밥(1,000원), 하이난탕면(10,000원), 하이난탕밥(11,000원), 고기 튀김만두(7,000원), 게살은이 버섯스프(14,000원), 매생이 게살스프(15,000원), 유산슬(45,000원), 양장피(50,000원), 팔보채(55,000원), 전가복(70,000원), 해물떡볶이(40,000원), 고추잡채(45,000원), 중새우요리 （small）(45,000원)"
장순루,서울 광진구 아차산로76길 11 1층,4.3,"자장면(7,000원), 짬뽕면(8,000원), 백짬뽕(10,000원), 새우짬뽕(12,000원), 고추짬뽕(11,000원), 삼선짱뽐(10,000원), 삼선간짜장(10,000원), 삼선우동(10,000원), 삼선울면(10,000원), 기스면(10,000원), 사천짜장(10,000원), 초면(12,000원), 쟁반짜장 (2인분)(20,000원), 굴짬뽕(11,000원), 냉면(11,000원), 야채당면(12,000원), 새우탕면(15,000원), 우육탕면(18,000원), 잡탕밥(18,000원), 산술밥(5,000원), 소고기덮밥(18,000원), 게살볶음밥(10,000원), 새우볶음밥(10,000원), 어향가지덮밥(13,000원), 삼선볶음밥(10,000원), 볶음밥(8,000원), 사천마라탕 (3~4인분)(30,000원), 불도장 (1인분)(80,000원), 옥수수스프 (3~4인분)(30,000원), 전가복 (3~4인분)(100,000원), 팔보채 (3~4인분)(50,000원), 고추잡채 (3~4인분)(45,000원), 부추잡채 (3~4인분)(45,000원)"
연길왕꼬치 건대본점,서울 광진구 동일로18길 86 1층,,"양꼬치(16,000원), 양갈비살(10꼬치)(16,000원), 소갈비살(10꼬치)(15,000원), 마라새우닭날개(25,000원), 어향가지(15,000원)"
송화산시도삭면 본점,서울 광진구 뚝섬로27길 48 1층,4.1,"어향육슬덮밥(9,000원), 가지덮밥(9,000원), 토마토계란덮밥(9,000원), 궁보계정덮밥(9,000원), 볶음밥(8,000원), 새우볶음밥(9,000원), 도삭면(9,000원), 충유면(9,000원), 비빔면(9,000원), 쇼룽포오(6p)(8,000원), 춴권(5p)(10,000원), 황금꽃빵(8p)(7,000원), 군만두(8p)(9,000원), 호박볼(8,000원), 유린기(16,000원), 수주육편(19,000원), 수주비프(20,000원), 꿔바로우(17,000원), 깐펑샤(18,000원), 향라육슬(16,000원), 깐꿔감자(15,000원), 라즈지(16,000원), 마파두부(10,000원), 쇼마이(5p)(9,000원), 새우아스파라거스(5p)(9,000원)"
향미숯불양꼬치,서울 광진구 긴고랑로 71 1층,4.1,"양꼬치（10개）(17,000원), 꿔바로우(19,000원), 크림새우(21,000원), 마라탕(14,000원), 꽃빵튀김(8,000원), 양갈비살（10개）(22,000원), 향라새우(21,000원), 경장육사(19,000원), 유린기(20,000원), 가지튀김볶음(19,000원), 어향육사(20,000원), 즈란심관(20,000원), 계란토마토볶음(15,000원), 건두부볶음(14,000원), 닭날개（8개）(14,000원), 마파두부덮밥(8,000원), 새우볶음밥(9,000원), 가지볶음밥(8,000원), 온면(8,000원), 물만두(7,000원), 계란볶음밥(8,000원), 콜라(2,000원), 사이다(2,000원), 환타(2,000원)"
대흥양다리바베큐 건대점,서울 광진구 아차산로30길 39 1층,4.0,"고급양갈비 (300g)(25,000원), 마라소롱샤(35,000원), 양다리바베큐 (소)(50,000원), 꿔바로우(15,000원), 마라탕(10,000원), 양다리(소)(50,000원), 양다리(대)(65,000원), 양다리(특)(75,000원), 양곰탕(10,000원), 양만두(6,000원)"
고향양꼬치,서울 광진구 동일로18길 101 1층,3.3,"고급양갈비(33,000원), 양고기모듬(55,000원), 생양꼬치(16,000원), 양갈비살꼬치(23,000원), 소갈비살꼬치(20,000원), 훈둔(7,000원), 볶음밥(7,000원), 물만두(7,000원), 온면(7,000원), 냉면(7,000원), 마라탕(10,000원), 해물누룽지탕(18,000원), 계란탕(7,000원), 토마도계란탕(8,000원), 꿔바로우(18,000원), 가지튀김(17,000원), 새우청경채볶음(17,000원), 크림새우(18,000원), 깐쇼새우(18,000원), 향라대하(22,000원), 마라룽샤(38,000원), 땅콩돼지고기볶음(16,000원), 소고기고추볶음(20,000원), 마파두부(15,000원), 유린기(18,000원), 건두부볶음(15,000원), 어향육슬(17,000원), 매운바지락볶음(22,000원)"
연옥 양꼬치,서울 광진구 동일로18길 42,4.4,"양꼬치(15,000원), 마라양꼬치(16,000원), 양갈비살(17,000원), 마라두부(12,000원), 지삼선(14,000원), 양진(14,000원), 소갈비살(17,000원), 오돌뼈(13,000원), 고급양갈비(27,000원), 꿔버로우(17,000원), 매운뚜링(23,000원), 심변(12,000원), 심장(12,000원), 지레(12,000원), 콩팥(12,000원), 가시튀김(14,000원), 경장육스(15,000원), 건두부볶음(12,000원), 계란토마토(15,000원), 마파두부(12,000원), 마라새우(20,000원), 새우튀김(18,000원), 무침(13,000원), 냉면(7,000원), 가지(7,000원), 가지튀김(14,000원), 도라지오이무침(13,000원), 배추당면무침(13,000원), 건두부오이무침(13,000원), 온면(7,000원), 계란볶음밥(7,000원), 가지볶음밥(7,000원)"
무한양꼬치,서울 광진구 아차산로29길 41 2층,3.5,"무한리필(1인)(20,000원), 옥수수온면(6,000원), 냉면(6,000원), 볶음밥(6,000원)"
미식반점,서울 광진구 군자로 70 동일흥업빌딩 나동 1층 107호,,"통후추중새우(21,000원), 몽골리안비프(27,000원), 해물볶음짜장(7,500원), 미식짜장면(6,500원), 미식짬뽕(8,000원), 해물백짬뽕(8,000원), 해물볶음짬뽕(9,000원), 마라탕면(11,000원), 크림짬뽕(10,000원), 사천탕면(9,000원), 미식볶음밥(8,000원), 돼지고기볶음밥(8,000원), 새우볶음밥(8,000원), 유산슬밥(12,000원), 잡탕밥(14,000원), 잡채밥(8,000원), 마파두부밥(7,000원), 사천식가지덮밥(7,500원), 유산슬(30,000원), 오향장육(30,000원)"
명봉반점(명봉양꼬치),서울 광진구 뚝섬로31길 59 1층,4.6,"크림새우(18,000원), 유린기(18,000원), 마라룽샤(38,000원), 꿔바로우(18,000원), 지삼선(17,000원), 건두부볶음(15,000원), 토마토계란(17,000원), 마파두부(15,000원), 계란볶음밥(7,000원), 온면(7,000원), 마라탕(10,000원), 향라대하(22,000원), 바지락볶음(22,000원), 깐쇼새우(18,000원), 가지볶음(17,000원), 돼지고기고수(17,000원), 양꼬치(16,000원), 마라양꼬치(18,000원), 양갈비살꼬치(23,000원), 양고급갈비300g(33,000원)"
금하,서울 광진구 아차산로36길 5 4층,3.4,"팔진탕면(11,000원), 삼선자장면(8,000원), 자연송이 쇠고기덮밥(19,000원), 동파육 (SMALL)(32,000원), 금하특선냉채 (SMALL)(50,000원)"
화양양꼬치,서울 광진구 아차산로29길 44 1층,4.0,"양꼬치 (10꼬치)(17,000원), 양갈비살 (10꼬치)(17,000원), 꿔보러우(16,000원), 가지튀김(14,000원), 옥수수온면(8,000원), 양갈비살 (10꼬치)(17,000원), 닭똥집 (10꼬치)(12,000원), 닭날개 (6쪽)(10,000원), 꿔바로우(16,000원), 토마토계란탕(9,000원), 가지볶음밥(7,000원), 옥수수냉면(7,000원)"
경성양고기꼬치구이,서울 광진구 동일로18길 53 1층,4.0,"고급양갈비(25,000원), 양목살꼬치 (6개)(18,000원), 양갈비살(16,000원), 양힘줄(15,000원), 양꼬치(13,000원)"
건대홍매양꼬치,서울 광진구 동일로18길 94 1층,4.5,"고급양갈비 (1인분)(25,000원), 양갈비살꼬치(15,000원), 탕수육(10,000원), 가지튀김(10,000원), 건두부무침(8,000원)"
청도양꼬치 2호점,서울 광진구 동일로18길 69,4.2,"양꼬치(10대)(13,000원), 양갈비살(10대)(15,000원), 탕수육(12,000원), 온면(6,000원), 가지볶음밥(8,000원)"
샤오롱바오,서울 광진구 자양번영로 20 1층,4.5,"고기 바오즈(10,000원), 고기새우 바오즈(11,000원), 고기부추새누지짐만두(11,000원), 깨장비빔면(10,000원), 동파육(19,000원), 부추계란새우 지짐만두(11,000원), 얼큰훈돈면(11,000원), 얼큰훈돈(11,000원), 훈돈면(10,000원), 훈돈(10,000원), 동파육덮밥(12,000원)"
복만루 건대점,서울 광진구 동일로18길 43 1층,3.2,"양고기샤브샤브뷔페(1인)(14,000원), 개구리 다리튀김(0원), 건두부(0원), 경장육슬(0원), 꼴뚜기볶음(0원), 동파육(0원), 마라잉어(0원), 마파두부(0원), 부추계란볶음(0원), 새우알볶음(0원), 새콤달콤가지튀김(0원), 신관볶음(0원), 쌍라러우스(0원), 오돌뼈볶음(0원), 우족요리(0원), 잡채볶음(0원), 중국식짜장면(0원), 탕수육(0원)"
봉자마라탕,서울 광진구 동일로18길 22 1층,3.4,"양고기마라탕(14,000원), 양주식 계란볶음밥(10,000원), 건두부무침(14,000원), 소고기마라탕(14,000원), 매콤새콤당면(12,000원), 마라면(14,000원), 탄탄면(12,000원), 마라면 무침(14,000원), 중국식 볶음면(12,000원), 중국식 물만두(10,000원), 마라샹궈(27,000원), 찹쌀탕수육(20,000원), 어향육슬(20,000원), 향라육슬(22,000원), 쿵파오치킨(22,000원), 삼색야채볶음(18,000원), 어향가지볶음(18,000원), 탕수육가지볶음(18,000원), 토마토계란볶음(14,000원), 마라무침(14,000원), 마파두부(14,000원), 건두부볶음(14,000원), 데친건두부무침(14,000원), 송화단두부(14,000원), 쇠고기피망볶음(22,000원), 매운소천엽볶음(20,000원), 경장육슬(22,000원), 돼지간볶음(20,000원), 마라돼지간볶음(20,000원), 즈란염통줄기(22,000원)"
하오츠,서울 광진구 능동로 275 1층,3.2,"짜장면(5,000원), 하오츠짬뽕(7,000원), 볶음밥(6,500원), 삼선볶음밥(8,000원), 삼선누룽지탕(25,000원), 찹쌀탕수육 (소)(16,000원)"
해란양꼬치,서울 광진구 동일로18길 73,3.8,"고급양갈비(35,000원), 양갈비살 (10꼬치)(22,000원), 양갈비 (10꼬치)(22,000원), 양꼬치 (10꼬치)(16,000원), 소꼬치 (10꼬치)(22,000원), 양깃머리 (10꼬치)(20,000원), 마라양갈비 (10꼬치)(15,000원), 오돌뼈 (10꼬치)(18,000원), 오징어꼬치 (10꼬치)(18,000원), 계란김탕(8,000원), 소고기토마토탕(15,000원), 얼큰해물탕(15,000원), 배추갈비찜(15,000원), 계란볶음밥(7,000원), 마라탕(13,000원), 육슬면(8,000원), 두부튀김요리(10,000원), 고추건두부볶음(15,000원), 마라샹궈(25,000원), 철판소고기(20,000원), 철판양고기(20,000원), 철판오징어(20,000원), 철판명란(20,000원)"
세종원 군자본점,서울 광진구 광나루로 373 1층,4.5,"짜장면(6,000원), 짬뽕(7,000원), 간짜장(7,000원), 우동(8,000원), 쟁반짜장(9,000원), 삼선짜장(9,000원), 삼선짬뽕(11,000원), 삼선우동(11,000원), 고추짬뽕(11,000원), 볶음밥(8,000원), 짜장밥(8,000원), 짬뽕밥(8,000원), 삼선볶음밥(10,000원), 새우볶음밥(10,000원), 잡채밥(9,000원), 삼선짬뽕밥(12,000원), 송이덮밥(9,000원), 잡탕밥(14,000원), 깐풍기(30,000원), 누룽지탕(30,000원), 마라원짜장(8,000원), 찹쌀탕수육(소)(17,000원)"
해룡마라룽샤,서울 광진구 동일로18길 36 1층,2.9,"룽샤(35,000원), 매운새우(32,000원), 꿔바로우(15,000원), 해물누룽지탕(15,000원), 마라탕(8,000원)"
화양식당,서울 광진구 군자로7길 3,4.2,"유린기 (SINGLE)(18,000원), 칠리새우 (SINGLE)(18,000원), 마라육 (SINGLE)(20,000원), 계란 만두탕(17,000원), 비어베터드 가지튀김(15,000원)"
동북풍미,서울 광진구 동일로18길 90,4.7,"향라대하 (소)(18,000원), 찹살탕수육 (소)(12,000원), 경장육슬 (소)(13,000원), 향라육슬 (소)(12,000원), 마라향궈(20,000원)"
허씨 정통중경마라샹궈 3호점,서울 광진구 아차산로30길 17 1층,3.5,"취향대로 마라샹궈(2,900원), 동파육덮밥&컵밥(8,000원), 마라샹궈(20,000원), 마라탕(12,000원), 꿔바로우(14,000원), 마파두부(12,000원), 토마토 계란볶음(14,000원), 계란볶음밥(6,000원), 마라샹궈 1.5인분(15,000원), 향라닭날개(14,000원), 크림새우(16,000원), 깐쇼새우(16,000원), 공보계정(14,000원), 가지볶음(13,000원), 지삼선(14,000원), 즈란양고기(16,000원), 물만두(6,000원), 연태고량주 中（250mL）(20,000원), 연태고량주 大（500mL）(35,000원), 설원 中（250mL）(15,000원), 설원 大（450mL）(20,000원), 노주탄 中（250mL）(12,000원), 노주탄 大（500mL）(20,000원), 컵술 고려원장（100mL）(4,000원), 카스(4,000원), 테라(4,000원), 참이슬(4,000원), 진로이즈백(4,000원), 칭따오(6,000원), 하얼빈(6,000원)"
그랜드워커힐서울 금룡,서울 광진구 워커힐로 177 본관1층,3.3,"상해식소룡포(35,000원), 상해식하가우(35,000원), 북경식탕수육(105,000원), 삼선짜장면(28,000원), 우육탕면(58,000원), 창편소고기(35,000원)"
복만루,서울 광진구 아차산로 352 1층,2.3,"(1인)탕수육＋짜장1(식사메뉴변경가능)(21,000원), 차돌짬뽕(13,000원), 수제비짬뽕(11,000원), 숯불짬뽕(11,000원), 콩나물짬뽕(11,000원), 고기짬뽕(11,000원), (2인)탕수육+짜장2(식사메뉴 변경가능)(26,000원), 볶음밥(8,000원), 짜장(7,000원), 짬뽕(8,000원), 간짜장(9,000원), 탕짜면(12,000원), 탕짬면(12,000원), 탕수육（중）(25,000원), 칠리탕수육＋짜장면2(29,000원), 깐풍기＋짜장면2(30,000원), 양장피＋짜장면2(30,000원), 팔보채＋짜장면2(34,000원), 깐쇼새우＋짜장면2(30,000원), 처음처럼(5,000원), 참이슬 후레쉬(5,000원), 진로이즈백(5,000원), 참이슬 오리지널(5,000원), 새로(5,000원), 테라(5,000원), 카스(5,000원), 연태고량주(20,000원), 설원(15,000원), 북경고량주(6,000원), 이과두주(6,000원)"
황실짜장,서울 광진구 강변역로4길 10 지너스타워 204호,4.2,"짜장면(6,000원), 쟁반짜장 (1인분)(7,500원), 불짜장(7,500원), 짜장밥(6,500원), 탕수육 (소)(14,000원)"
순희냉면,서울 광진구 동일로18길 84,4.7,"동파육덮밥&컵밥(8,000원), 동파육(30,000원), 마라탕(12,000원), 매운소갈비요리(28,000원), 마라샹궈(15,000원), SET3（샹궈1.5人＋꿔바러우中）(28,000원), 꿔바러우(14,000원), 지삼선(16,000원), 건두부볶음(14,000원), 경장육사（고수O.X）(18,000원), 오징어볶음(16,000원), 토마토계란볶음(14,000원), 즈란양고기(20,000원), 만두(6,000원), 취향대로 마라샹궈(2,900원), 다진고추생선머리찜（대구）조리시간30분(48,000원), SET1（샹궈1.5人＋계란볶음밥）(20,000원), SET2（샹궈1.5人＋수제물만두）(20,000원), SET4（샹궈1.5人＋지삼선中）(28,000원), SET5（샹궈3人＋꿔바러우＋지삼선中）(53,900원), 꿔바로우（소）＋냉면 1인세트(18,900원), 홍소잉어（조리시간25분）(38,000원), 가지볶음(16,000원), 감자볶음(12,000원), 공보계정(18,000원), 된장가지볶음(16,000원), 매운깐양볶음(18,000원), 매운닭똥집볶음(16,000원), 야채고기계란(18,000원), 어향육사(18,000원)"
춘선만두,서울 광진구 군자로 101 1층,4.6,"위샹루스(15,000원), 해물볶음밥(7,000원), 건두부볶음(9,000원), 마파두부(9,000원), 건두부무침(6,000원), 지삼선(13,000원)"
복만루 2호점,서울 광진구 아차산로30길 23 2층,3.3,"소고기샤브훠궈세트(16,000원), 꽃빵(6,000원), 계란야채볶음밥(7,000원), 새우볶음밥(8,000원), 물만두（손수만두）(3,000원), 양고기샤브훠궈세트(16,000원), 우삼겹샤브훠궈세트(15,000원), 삼겹살샤브훠궈세트(15,000원), 해물샤브훠궈세트(16,500원), 공기밥 추가(1,000원), 삥홍차(3,000원), 삥탕쉐리(3,000원), 코코넛(3,000원)"
백옥양꼬치,서울 광진구 뚝섬로23길 97 1층,4.5,"양꼬치 (1인분)(13,000원), 소꼬치 (1인분)(15,000원), 고급양갈비 (350g)(24,000원), 마라룽샤(35,000원), 마라향궈(30,000원)"
경성양육관 건대직영점,서울 광진구 동일로18길 52 1층,3.6,"고급양갈비(25,000원), 양갈비살(16,000원), 소갈비꼬치(6개)(16,000원), 계란토마토볶음(13,000원), 닭똥집(12,000원)"
중국관,서울 광진구 긴고랑로 39,3.9,"짜장면(4,000원), 짬뽕(5,000원), 간짜장(5,000원), 우동(5,000원), 울면(5,000원)"
콴차이,서울 광진구 자양로18길 17 2층,4.2,"오향장육(22,000원), 면보샤 (8개)(16,000원), 크림중새우(17,000원), 메뉴판1(0원), 동파육(0원), 짜장(5,000원), 짬뽕(6,000원), 간짜장(7,000원), 쟁반짜장(2인)(12,000원), 볶음밥(6,000원), 양장피(14,000원)"
춘향중화요리,서울 광진구 긴고랑로 99,3.7,"탕수육정식(13,000원), 짬뽕) 탕수육정식(14,000원), 탕짜면(12,000원), 탕수육1인세트(21,000원), 탕수육+짜장2(25,000원), 짜장면(7,000원), 간짜장(9,000원), 짬뽕(9,000원), 삼선볶음밥(12,000원), 삼선고추짬뽕밥(13,000원), 공기밥(1,000원), 코카콜라500mL(2,000원), 볶짜면(11,000원), 볶짬면(11,000원), 부산오뎅짬뽕(11,000원), 부산오뎅짬뽕밥(11,000원), 홍합짬뽕(11,000원), 홍합짬뽕밥(11,000원), 볶음짬뽕1인(11,000원), 쟁반짜장밥(11,000원), 매운쟁반짜장밥(11,000원), 돈짜면(11,000원), 제육덮밥(11,000원), 오징어덮밥(11,000원), 육개장(11,000원), 떡만두국(11,000원), 떡국(11,000원), 만두국(11,000원), 송이덮밥(11,000원), 고추잡채밥(11,000원)"
영모네중식포차,서울 광진구 능동로37길 10 1층,2.9,"짜장면(8,000원), 우동면(8,000원), 홍합짬뽕(9,000원), 차돌박이 짬뽕(10,000원), 해물볶음짬뽕(10,000원), 굴짬뽕(10,000원), 북경식비빈국수(10,000원), 중국식냉면(10,000원), 전복해물짬뽕(12,000원), 마라우육면(12,000원), 향라우육면(12,000원), 청탕우육면(12,000원), 짜장밥(8,000원), 특밥(8,000원), 카레볶음밥(8,000원), 잡채밥(8,000원), 마파두부밥(8,000원), 삼선볶음밥(9,000원), 고추잡채밥(9,000원), 게살볶음밥(10,000원), 유산슬밥(10,000원), 라조육밥(12,000원)"
홍야동양꼬치,서울 광진구 동일로18길 23 1층,4.5,"양꼬치&훠궈 무한리필 (1인)(25,900원), 훠궈 무한리필 (1인)(22,900원), 양꼬치 무한리필 (1인)(23,900원), 칭따오맥주(6,000원), 하얼빈맥주(4,000원)"
