가게명,지역화폐,주메뉴,동,상세주소,평점,메뉴목록
임진강,X,장어,중곡동,서울 광진구 긴고랑로 93,3.7,"풍천민물장어 (왕) (1마리)(42,000원), 풍천민물장어 (대) (2마리)(58,000원), 메기매운탕 (소)(35,000원), 빠가매운탕 (소)(45,000원), 장추어탕(9,000원), 된장찌개(5,000원), 멸치국수(4,000원)"
장인석닭한마리,X,닭요리,중곡동,서울 광진구 자양로43길 49-6,4.1,"한방닭한마리 (대)(4인)(52,000원), 한방닭한마리 (중)(3인)(39,000원), 한방닭한마리 (소)(2인)(26,000원), 한방닭도리탕 (대)(4인)(55,000원), 한방닭도리탕 (중)(3인)(41,000원), 한방닭도리탕 (소)(2인)(28,000원), 삼계탕(17,000원)"
아차산유황오리,O,오리,중곡동,서울 광진구 영화사로 62-1 1층,4.1,"생오리 주물럭 (반마리)(38,000원), 양념 주물럭 (반마리)(40,000원), 생반, 양념 반 주물럭(62,000원), 한방능이백숙 (오리, 닭)(85,000원), 한방백숙 (오리, 닭)(75,000원), 옻오리 (닭)(80,000원)"
우리맛,O,장어,중곡동,서울 광진구 능동로37길 14 1층,4.6,"바다장어소금구이(소)(46,000원), 바다장어회(46,000원), 바다장어보양탕(소)(46,000원), 간재미회(35,000원), 간재미무침(35,000원)"
대구참막창 중곡본점,O,"곱창,막창",중곡동,서울 광진구 긴고랑로 34 1층,4.8,"돼지막창(200g)(15,000원), 소막창(200g)(23,000원), 왕돼지갈비(300g)(15,000원), 소갈비살(150g)(18,000원), 돼지껍데기(180g)(9,000원)"
군자닭갈비,X,닭요리,중곡동,서울 광진구 능동로 315 1층,3.7,"군자 닭갈비(15,000원), 치즈 닭갈비(17,000원), 막국수(9,000원)"
도포식당,O,"육류,고기",중곡동,서울 광진구 능동로 389 1층,,"진(眞)목살(16,000원), 특삼겹살(16,000원), 항정살(19,000원), 갈매기살(17,000원), 등겹살(16,000원)"
청정활어회직판장,O,회,중곡동,서울 광진구 긴고랑로 27 1층,4.8,"쌈야채추가(2,000원), 세꼬시물회(16,000원), 참숭어(밀치)(39,000원), 도세+막회세트(25,000원), 광어(막회)(25,000원), 참숭어+광어(37,500원), 막회(25,000원), 연어+막회(36,000원), 연어+세꼬시(32,000원), 생연어(33,000원), 도다리(세꼬시+막회)(33,000원), 돔.광.우(40,000원), 돔.광.세(36,000원), 참돔+막회(39,000원), 회무침(15,000원), 물회(16,000원), 도다리회(막회)(33,000원), 도다리회+광어(36,000원), 참돔+도다리세꼬시(36,000원), 도다리세꼬시+우럭회(36,000원), 도다리세꼬시+광어회(33,000원), 도다리세꼬시(30,000원), 참돔(42,000원), 참돔+광어(39,000원), 참돔+숭어(40,500원), 모둠세트(36,000원), 우럭(42,000원), 광어+우럭(39,000원), 광어+연어(34,500원), 돔광연(38,000원)"
안흥갈비 중곡점,X,갈비,중곡동,서울 광진구 능동로 373 2층,4.5,"안흥갈비(250g)(16,000원), 돼지갈비(250g)(16,000원), 양념목살(250g)(16,000원), 삼겹살(180g)(16,000원), LA갈비(250g)(23,000원), 갈비탕(15,000원), 육개장(10,000원)"
맛나멸치국수,X,국수,중곡동,서울 광진구 긴고랑로 92 1층,4.5,"멸치(멸치국수)(6,000원), 비빔국수(7,000원), 콩나물비빔국수(7,500원), 열무국수(7,000원), 콩국수 (여름메뉴)(8,000원), 김밥(4,000원)"
피읖 제페니즈다이닝,X,"해물,생선",중곡동,서울 광진구 능동로 327-1 1층,4.2,"도다리사시미(15,000원), 생물청어구이(10,000원), 왕새우튀김(15,000원), 아구수육(15,000원), 메로스테이크(20,000원)"
고기처럼 중곡점,X,"육류,고기",중곡동,서울 광진구 긴고랑로 57 1층,4.4,"생삼겹살 (180g)(15,000원), 가브리살 (180g)(15,000원), 꼬들살 (180g)(15,000원), 천겹 (항정) (180g)(15,000원), 소갈비살 (150g)(18,000원), 수제돼지갈비((270g)(15,000원), 차돌된장죽(9,000원), 돼지껍데기(150g)(8,000원)"
용두삼겹살 쭈꾸미,X,"해물,생선",중곡동,서울 광진구 천호대로 647,3.0,"우삼겹쭈꾸미(1인분)(17,000원), 삼겹살쭈꾸미(1인분)(16,000원), 쭈꾸미(1인분)(14,000원), 새우쭈꾸미(1인분)(16,000원), 도토리묵 무침(중)(12,000원), 키조개/참소라(16,000원), 묵사발(8,000원), 막국수(8,000원)"
참곱창,O,"곱창,막창",중곡동,서울 광진구 면목로 182 중앙빌딩 1층,4.1,"야채곱창(11,000원), 알곱창(13,000원), 뼈없는닭발(12,000원), 오돌뼈(11,000원)"
우렁쌈밥,X,쌈밥,중곡동,서울 광진구 능동로38길 31 1층,3.4,"가정식백반(7,000원), 김치찌개(8,000원), 청국장(8,000원), 제육볶음(8,000원), 선지해장국(8,000원), 우렁쌈밥(11,000원), 뚝배기불고기(10,000원), 낙지볶음(10,000원), 오징어볶음(9,000원), 황태해장국(8,000원), 삼겹살(15,000원), 갈치조림(2인)(20,000원), 고등어조림(2인)(18,000원), 대구탕(2인)(18,000원), 육개장(9,000원)"
조서방순대국 중곡본점,X,순대,중곡동,서울 광진구 긴고랑로 88 1층,4.2,"조서방 스페셜(43,000원), 1인 SET(13,000원), 2인 SET(22,000원), 순대국(10,000원), 특 순대국(11,000원), 술국(18,000원), 미니수육(15,000원), 수육(소)(23,000원), 수육(중)(27,000원), 수육(대)(30,000원), 껍데기 무침(소)(9,000원), 껍데기 무침(중)(12,000원), 껍데기 무침(대)(15,000원), 오소리 감투 한접시(14,000원)"
사거리매운양푼등갈비찜 본점,X,갈비,중곡동,서울 광진구 긴고랑로 30 1층,4.6,"양푼 등갈비찜(250g)(14,000원), 김치 등갈비찜(250g)(15,000원), 치즈 등갈비찜(250g)(16,000원), 우동생등갈비찜(250g)(17,000원)"
미친생고기 군자역점,X,"육류,고기",중곡동,서울 광진구 능동로 317-1,3.2,"꽃등심(200g)(13,900원), 소갈비살(1인분)(200g)(20,000원), 육회(100g)(7,000원)"
중화호반닭갈비 아차산점,O,닭요리,중곡동,서울 광진구 천호대로129길 79 1층,3.1,"치즈닭갈비(13,000원), 닭갈비(11,000원), 얼큰막국수(6,000원), 막국수(6,000원), 물만두(4,000원)"
굴이짱 본점,X,"굴,전복",중곡동,서울 광진구 긴고랑로 61 1층,3.1,"굴찜(39,000원), 생굴보쌈(35,000원), 생굴회(25,000원), 쭈꾸미보쌈(35,000원), 산꼼장어 (1인분)(20,000원), 대하소금구이(27,000원), 대하버터구이(27,000원), 조개찜 (중)(45,000원), 조개구이 (중)(45,000원), 연포탕(45,000원), 생굴무침(29,000원), 석화 + 생굴(28,000원), 쭈꾸미철판(28,000원), 해물파전(17,000원), 소라찜(35,000원), 해물오합(45,000원), 가리비회(30,000원), 가리비찜(35,000원), 매운해물찜(45,000원), 물회 (보통)(25,000원), 굴전(18,000원), 광어 (중)(30,000원), 우럭(30,000원), 해물탕 (중)(15,000원), 조개탕 (중)(15,000원), 전복회(40,000원), 도다리세꼬시(35,000원), 도다리무침(39,000원), 전복낙지탕탕(40,000원), 산낙지(변동가격), 멍게(15,000원), 통매운탕(29,000원), 매운탕(10,000원)"
군자생고기,X,"육류,고기",중곡동,서울 광진구 천호대로107길 8 1층,3.6,"갈비탕(12,000원), 한우등심 (500g)(75,000원), 갈비살 (500g)(85,000원), 생삼겹 (600g)(30,000원), 생목살 (600g)(30,000원)"
가마솥도가니탕 장수옥,X,설렁탕,중곡동,서울 광진구 용마산로 124,2.2,"설렁탕(10,000원), 갈비탕(13,000원), 내장곰탕(15,000원), 모듬수육(소)(40,000원), 수제만두(6,000원)"
할머니손칼국수,X,칼국수,중곡동,서울 광진구 영화사로 8 1층,3.9,"칼국수(6,500원), 칼제비(6,500원), 수제비(6,500원), 김치만두(5,500원), 고기만두(5,500원), 칼만두(7,500원), 만두국(6,500원), 콩국수(여름메뉴)(8,500원), 비빔냉면(여름메뉴)(6,500원)"
문가네정육식당 군자역점,X,"육류,고기",중곡동,서울 광진구 면목로 53 1층,3.1,"작은소한마리(450g+450g)(64,000원), 소살치살(160g)(19,000원), 소갈비살(160g)(18,000원), 소토시살(160g)(18,000원), 소차돌박이(160g)(18,000원), 소꽃등심(160g)(17,000원), 소부채살(160g)(17,000원), 소우삼겹(160g)(16,000원), 한우꽃등심(150g)(35,000원), 한우차돌박이(150g)(23,000원), 생삼겹살(180g)(14,000원), 냉동삼겹살(180g)(14,000원), 삼겹살+묵은지세트(180g+150g)(17,000원)"
임면옥,O,국수,중곡동,서울 광진구 능동로 338 1층,3.9,"들깨수제비(11,000원), 들깨칼제비(11,000원), 들깨찹쌀옹심이(13,000원), 팥칼국수(12,000원), 팥죽(13,000원), 서리태콩국수(13,000원), 바지락칼국수(10,000원)"
명륜진사갈비 서울중곡점,X,갈비,중곡동,서울 광진구 용마산로 110 토끼빌딩 1층,3.8,
육감만족 아차산점,X,"족발,보쌈",중곡동,서울 광진구 천호대로129길 5,3.8,"족발(33,000원), 보쌈(33,000원), 육감만 족보（족발＋보쌈）(43,000원), 반반족발 2~3인（족발＋불족발）(41,000원), 냉채족발（2~3인）(41,000원), 직화불족발（2~3인）(41,000원), 스페셜 한판（5~6인）(75,000원), 육감만 족보（불족＋보쌈）(43,000원), 족발＋골뱅이（3~4인）(43,000원), 메밀막국수(6,000원), 칼칼한 술국(12,000원), 김치전(10,000원), 부추전(10,000원), 주먹밥(4,000원)"
마장동 고기집,O,"육류,고기",중곡동,서울 광진구 용마산로 97,4.8,"꽃갈비살(35,700원), 살치살(29,700원), 우대갈비(26,700원), 갈비살(26,700원), 양념소갈비살(26,700원), 소양막창(26,700원), 명품등심(15,800원), 항정살(18,000원), 삼겹살(15,000원), 목살(15,000원), 대패삼겹살(15,000원), 껍데기(12,000원)"
한방삼계탕 본점,X,삼계탕,중곡동,서울 광진구 천호대로 581,2.9,"누룽지 오리찜(55,000원), 누룽지 닭찜(55,000원), 건강삼계탕(17,000원), 미용삼계탕(17,000원), 죽삼계탕(17,000원)"
고오기,O,삼겹살,중곡동,서울 광진구 천호대로127길 8 1층,3.8,"새우살(52,000원), 살치살(48,000원), 꽃등심(45,000원), 채끝등심(40,000원), 차돌박이(28,000원), 삼겹살(15,000원), 목살(15,000원), 갈매기살(17,000원), 가브리살(18,000원), 된장찌개(7,000원), 김치찌개(6,000원), 김치볶음밥(10,000원)"
군산아구동태해물찜탕,O,"매운탕,해물탕",중곡동,서울 광진구 용마산로 34,2.8,"아구찜 (소)(25,000원), 아구탕 (소)(25,000원), 동태찜 (소)(25,000원), 동태탕(5,500원), 알탕(9,000원)"
수돈재감자탕 아차산점,X,감자탕,중곡동,서울 광진구 자양로45길 39 1층,3.8,"감자탕 (대)(28,000원), 감자탕 (중)(24,000원), 감자탕 (소)(20,000원), 뼈해장국(7,000원), 소주(5,000원)"
어머니감자탕 중곡본점,X,감자탕,중곡동,서울 광진구 능동로 353 1층,4.1,"뼈다귀감자탕(소)(25,000원), 김치감자탕(소)(25,000원), 콩감자탕(25,000원), 묵은지뼈찜(소)(27,000원), 매운갈비찜(대)(40,000원), 뼈다귀해장국(7,000원), 우거지해장국(6,000원)"
옹심이메밀칼국수,O,칼국수,중곡동,서울 광진구 긴고랑로9길 34 1층,4.1,"옹심이 메밀칼국수(10,000원), 옹심이만(11,000원), 메밀칼국수(9,000원), 메밀막국수（비빔）(10,000원), 매콤한 메밀전병(11,000원), 담백한 메밀만두(9,000원), 고소한 메밀전(9,000원), 메밀막국수（물）(10,000원), 냉모밀(10,000원), 전병 1줄(4,000원), 콜라(2,000원), 스프라이트(2,000원)"
명가소문난왕족발순대국 신성시장본점,X,"족발,보쌈",중곡동,서울 광진구 자양로53길 118,3.8,"모듬(30,000원), 왕족발 (특대)(27,000원), 중족발(14,000원), 냄비술국(15,000원), 미니족발(10,000원), 머리고기(10,000원), 내장(10,000원), 수제편육(10,000원), 술국(10,000원), 따로국밥(8,000원), 순대국밥(7,000원), 순대(5,000원)"
백제추어탕 군자역점,X,추어,중곡동,서울 광진구 천호대로 569,3.9,"추어탕(12,000원), 해죽순 추어탕(14,000원), 담양죽순 추어탕(15,000원), 우렁 추어탕(15,000원), 통 추어탕(15,000원), 전복 추어탕(2미)(17,000원), 넙적튀김만두(6,000원), 추어 물만두(6,000원), 추어 고추만두 튀김(11,000원), 수제 등심돈가스(10,000원), 수제 치즈돈가스(11,000원), 추어탕 세트정식(1인)(17,000원)"
거북이삼겹살,X,"육류,고기",중곡동,서울 광진구 긴고랑로 31,4.4,"생삼겹살(200g)(15,000원), 생목살(200g)(15,000원)"
이삭홍두깨손칼국수,X,칼국수,중곡동,서울 광진구 동일로72길 51 1층,4.1,"냉칼국수(6,500원), 검은콩국수(6,500원), 칼국수(4,500원), 칼제비(4,500원), 수제비(4,500원), 칼만두(5,500원), 비빔국수(5,500원), 물냉면(5,500원), 비빔냉면(5,500원), 잔치국수(4,500원), 감자전,김치전(6,000원), 들깨칼국수(6,500원), 어묵칼국수(5,500원), 떡만두국(5,500원), 만두(고기,김치)(3,000원)"
올래상회,O,국수,중곡동,서울 광진구 능동로38길 28 1층,4.4,"고기국수(점심/저녁)(9,000원), 고기김치말이국수(여름한정)(점심/저녁)(10,000원), 비빔국수(점심/저녁)(9,000원), 고기국밥(점심/저녁)(9,000원), 제주토종순대(찹쌀)(점심)(8,000원), 돔베고기(2인기준)(점심)(28,000원), 몸국(11,000원)"
라도유황오리,O,오리,중곡동,서울 광진구 영화사로 57 1층,,"능이 오리 백숙(80,000원), 양념 오리 주물럭 (한마리)(60,000원), 양념 오리 주물럭 (반마리)(38,000원), 오리 훈제 (한마리)(55,000원), 한방 오리 주물럭 (한마리)(55,000원), 한방 오리 주물럭 (반마리)(35,000원), 간장 오리 주물럭 (한마리)(55,000원), 간장 오리 주물럭 (반마리)(35,000원), 반반주물럭 (한마리)(62,000원)"
능동곱창 본점,X,"곱창,막창",중곡동,서울 광진구 긴고랑로 12 1층,3.9,"모듬곱창구이(250g)(24,000원), 곱창구이(250g)(24,000원), 양깃머리구이(200g)(24,000원), 대창구이(250g)(20,000원), 막창구이(250g)(20,000원)"
여수낭만포차,O,한식,중곡동,서울 광진구 답십리로82길 18,3.3,"돌(문어)해물삼합(40,000원), 딱새우회 (2인)(20,000원), 모둠해산물 (2인)(20,000원), 육회낙지탕탕이 (2인)(20,000원), 낙지호롱이 (2인)(20,000원), 전복새우버터구이 (2인)(20,000원), 돌문어숙회 (2인)(20,000원), 꼼장어볶음 (2인)(20,000원), 가리비오뎅탕(40,000원)"
고기싸롱 아차산역점,X,"육류,고기",중곡동,서울 광진구 용마산로 10 대붕빌딩 1층 101호,3.9,
곽홍백외식연구소 중곡본점,X,감자탕,중곡동,서울 광진구 면목로 92 1층,3.8,"들깨 우거지 감자탕 [이베리코 등뼈 사용](27,000원), 해물순두부찌개 1人(12,000원), 제육볶음 1人(12,000원), 갈치구이（2등분） 1人(13,000원), 생선구이 고등어,가자미,볼락 1인분(19,000원), 고등어조림（3등분） 2人(28,000원), 삼치 반수(12,000원), 2.5배 삼겹살 김치찜 （1kg 이상）(28,000원), 굴국밥(12,000원), 백반정식(13,000원), 차돌된장찌개(12,000원), 왕계란찜(5,000원), 볼락조림（2수） 2人(28,000원), 갈치조림（2등분） 2人(28,000원), 삼치大 1수(18,000원), 임연수 1수(13,000원), 고등어 묵은지 조림 （2인분）(28,000원), 삼겹살 김치찜（500g 이상）(28,000원), 제주도 참조기（2수） 1인분(12,000원), 굴국밥 [생굴추가] 100g 5000원(5,000원), 공기밥(1,000원), 반찬 추가(5,000원), 통영 어리굴젓 300g(17,000원), 사이다 500mL(2,000원), 콜라 500mL(2,000원)"
제부도,O,"해물,생선",중곡동,서울 광진구 긴고랑로 21 1층,4.6,"조개찜구이 대(58,000원), 가리비찜구이(35,000원), 전복찜구이(35,000원), 산문어(35,000원), 소라찜(27,000원), 감자전(15,000원), 연포탕(30,000원), 낙지초무침(28,000원), 탕탕이(25,000원), 산낙지(10,000원), 낙지볶음(23,000원), 문어해신탕(10,000원), 오리해신탕(80,000원), 토종닭해신탕(70,000원), 토종닭해물닭볶음탕(55,000원), 해물전복뚝배기(45,000원), 생우럭매운탕(28,000원), 조개탕(25,000원), 전복(15,000원)"
강나루유황오리주물럭 아차산역점,X,오리,중곡동,서울 광진구 자양로43길 65 1층,5.0,"오리주물럭(한마리)(55,000원), 매콤양념주물럭(한마리)(58,000원), 더덕양념주물럭(한마리)(63,000원), 한방백숙(70,000원), 옻백숙(70,000원), 훈제오리(한마리)(60,000원), 모듬한마리(주물럭+양념)(58,000원)"
참토우 중곡점,X,"육류,고기",중곡동,서울 광진구 긴고랑로 102 1층,4.0,"진꽃살 1근(69,000원), 진꽃살 1인분(23,000원), 안창살 1근(69,000원), 살치살 1근(63,000원), 토시살 1근(51,000원)"
빛나는미나리식당,O,"육류,고기",중곡동,서울 광진구 능동로 360-1 1층,4.0,"흑돈삼합(45,000원), 한우삼합(53,000원), 쭈삼(구이,볶음)(33,000원), 흑돈냉삼(1인)(10,900원), 한우차돌(1인)(14,900원), 직화쭈꾸미 (2인이상)(11,900원), 관자(회,구이)(12,900원)"
소문난순대국,O,순대,중곡동,서울 광진구 면목로 141-1 1층,3.3,"순대국(8,000원), 순대국(특)(9,000원), 한우도가니탕(12,000원), 한우도가니탕(특)(15,000원)"
방이편백 육분삼십 군자점,O,"육류,고기",중곡동,서울 광진구 능동로37길 10-3 1층,3.4,"소고기 편백찜(12,000원), 돼지샤브샤브(14,000원), 오징어무침회(10,000원), 간장새우장(10,000원), 볶음우동(9,000원), 소고기덮밥(7,500원), 매콤쫄면(6,000원), 김치찌개(6,000원), 된장찌개(6,000원), 등심 샤브샤브(15,000원), 프리미엄 이베리코 돼지 편백찜(20,000원)"
계화,X,닭요리,중곡동,서울 광진구 자양로43길 60 1층,5.0,"마늘소금 닭갈비(270g)(14,000원), 매운양념 닭갈비(270g)(15,000원), 닭목살 소금구이(200g)(15,000원), 야채꼬지(2ps)(5,000원), 계란찜(5,000원), 간장양념 닭갈비(270g)(15,000원)"
팔당왕족발보쌈 본점,X,"족발,보쌈",중곡동,서울 광진구 능동로 368 1층,4.8,"보쌈 小（2人）국내산 목살, 삼겹살(36,000원), 보쌈 大（3~4人）국내산 목살, 삼겹살(45,000원), 족발 小（2人）국내산 앞발(36,000원), 족발 中（2~3人）국내산 앞발(40,000원), 족발 大（3~4人）국내산 앞발(45,000원), 족발 특大（4~5人）국내산 앞발(50,000원), 반반족발 특大（족발＋매운양념족발）(51,000원), 보족 中(75,000원), 보족 大(85,000원), 보족 특大(95,000원), 매운양념족발 中（2~3人）국내산 앞발(41,000원), 매운양념족발 大（3~4人）국내산 앞발(46,000원), 매운양념족발 특大（4~5人）국내산 앞발(51,000원), 반반족발 中（족발＋매운양념족발）(41,000원), 반반족발 大（족발＋매운양념족발）(46,000원), 보쌈 中（2~3人）국내산 목살, 삼겹살(40,000원), 보쌈 특大（4~5人）국내산 목살, 삼겹살(50,000원), 보족 小(65,000원), 쟁반국수 1人(6,000원), 부침개(6,000원), 보속김치（무）(5,000원), 야채(2,000원), 공기밥(1,000원), 콜라 1.25L(3,000원), 참이슬 오리지날(4,000원), 참이슬 후레쉬(4,000원), 처음처럼(4,000원), 맥주 카스 500mL(4,000원), 막걸리(3,000원), 장수막걸리(3,000원)"
청산칡냉면 본점,X,냉면,중곡동,서울 광진구 용마산로 24-1 1층 101호,,"회냉면(11,000원), 팥칼국수(10,000원), 동지팥죽(10,000원), 들깨칼국수(10,000원), 왕만두3알(5,000원), 바지락칼국수(9,000원), 물냉면,매운물냉(9,500원), 비빔냉면,매운비빔냉면(9,500원), 왕만두5알(8,000원), 떡만두국,떡국(9,000원), 돈까스(9,500원), 치즈돈까스(9,500원)"
박양숙 당진아구동태찜탕 용마사거리점,X,아구,중곡동,서울 광진구 긴고랑로 46-1 1층,4.2,"아구찜 (소)(35,000원), 아구탕 (소)(35,000원), 황태찜 (소)(38,000원), 해물찜 (소)(38,000원), 낙지찜 (소)(38,000원)"
동해안이야기,O,회,중곡동,서울 광진구 면목로 167 1층,4.3,"모둠숙성회(39,000원), 전복물회(22,000원), 연어초밥(24,000원), 새우초밥(12,000원), 멍게(20,000원), 갑오징어 숙회(25,000원), 산낙지(25,000원), 맛보기 숙성회(18,000원), 맛보기 초밥(10,000원), 맛보기 연어초밥(12,000원), 맛보기 새우초밥(6,000원)"
고공 중곡점,O,"육류,고기",중곡동,서울 광진구 긴고랑로 63 1층,4.5,"특목살(17,000원), 미삼겹(17,000원), 토시살(20,000원), 본갈비(22,000원), 치마육회(20,000원)"
광어2마리15000원,O,회,중곡동,서울 광진구 긴고랑로13길 10,4.3,"광어(소)(15,000원), 과메기(15,000원), 도다리(소)(22,000원), 조개탕(13,000원), 연어초밥(9,900원)"
고기싸롱 중곡점,X,"육류,고기",중곡동,서울 광진구 면목로 178 1층,2.6,
삼보수제갈비,X,갈비,중곡동,서울 광진구 능동로 366 1층,2.1,"수제양념갈비 300g(16,000원), 수제생갈비 300g(19,000원), 소갈비살(19,000원), 한우육회(30,000원), 갈비탕(16,000원), 한우국밥(8,000원), 육회비빔밥(12,000원), 비빔밥(8,000원), 함흥물.비빔 냉면(8,000원)"
미가유황오리,O,오리,중곡동,서울 광진구 동일로76길 63,4.0,"오리주물럭(한마리)(56,000원), 양념주물럭(한마라)(60,000원), 훈제오리(한마리)(62,000원), 훈제오리(반마리)(36,000원), 모듬주물럭(60,000원)"
가마솥영양탕,O,"사철탕,영양탕",중곡동,서울 광진구 긴고랑로22길 32 1층,4.9,"삼계탕(13,000원), 옻삼계탕(15,000원), 옻백숙(65,000원), 보신 수육(22,000원), 보신 무침(22,000원), 보신 전골(20,000원), 보신탕 (대)(15,000원), 흑염소 수육(23,000원), 흑염소 무침(23,000원), 흑염소전골(23,000원), 흑염소탕(대)(15,000원)"
호강불백 군자역점,O,한식,중곡동,서울 광진구 능동로 324-1,5.0,"참숯 석쇠 불고기 세트(11,000원), 순창고추장 불고기 세트(13,000원), 바지락탕 (조개탕)(9,900원), 속초식 숯불오징어구이(10,900원), 현수네 고추튀김 (5개)(9,900원), 전주식 고추장육회(12,900원), 편육반 명태회무침반(9,900원), 고기한판+바지락탕(29,900원)"
부둣가,O,회,중곡동,서울 광진구 면목로 62 1층,4.4,"도미(53,000원), 농어(53,000원), 광어(28,000원), 우럭(28,000원), 광어＋우럭(38,000원), 강도다리 세꼬시(32,000원), 모듬회(53,000원), 광어물회＋사리（개불,멍게）(35,000원), 세꼬시물회＋사리（개불,멍게）(45,000원), 광어무침＋사리(35,000원), 세꼬시무침＋사리(45,000원), 문어숙회(40,000원), 문어초무침(45,000원), 멍게(15,000원), 개불(15,000원), 매운탕(5,000원), 공기밥(1,000원), 참이슬 후레쉬(4,000원), 처음처럼(4,000원), 카스(4,000원)"
거시기대구뽈찜,O,아구,중곡동,서울 광진구 답십리로 364 1층 102호,4.8,"뽈지리탕 (소)(26,000원), 뽈찜 (소)(29,000원), 아구찜 (소)(35,000원), 쭈꾸미볶음 (2인)(24,000원), 뽈지리탕 (2인)(18,000원)"
전주콩나물국밥,O,국밥,중곡동,서울 광진구 면목로 158,5.0,"콩나물국밥(6,000원), 콩나물 따로 국밥(6,500원), 콩나물 황태해장국(8,000원), 굴매생이(9,000원), 육개장(8,000원)"
